ticker_code;date;close
US5949181045;2003-12-11;21.9
US5949181045;2003-12-12;21.75
US5949181045;2003-12-15;21.88
US5949181045;2003-12-16;21.75
US5949181045;2003-12-17;21.65
US5949181045;2003-12-18;21.93
US5949181045;2003-12-19;21.95
US5949181045;2003-12-22;21.8
US5949181045;2003-12-23;21.85
US5949181045;2003-12-29;21.9
US5949181045;2003-12-30;21.95
US5949181045;2004-01-02;22.09
US5949181045;2004-01-05;22.15
US5949181045;2004-01-06;22.11
US5949181045;2004-01-07;22.27
US5949181045;2004-01-08;22.1
US5949181045;2004-01-09;21.67
US5949181045;2004-01-12;21.48
US5949181045;2004-01-13;21.53
US5949181045;2004-01-14;21.8
US5949181045;2004-01-15;21.95
US5949181045;2004-01-16;22.45
US5949181045;2004-01-19;22.7
US5949181045;2004-01-20;22.35
US5949181045;2004-01-21;22.3
US5949181045;2004-01-22;22.2
US5949181045;2004-01-23;22.59
US5949181045;2004-01-26;22.73
US5949181045;2004-01-27;22.5
US5949181045;2004-01-28;22.25
US5949181045;2004-01-29;22.4
US5949181045;2004-01-30;22.3
US5949181045;2004-02-02;22.2
US5949181045;2004-02-03;21.8
US5949181045;2004-02-04;21.65
US5949181045;2004-02-05;21.45
US5949181045;2004-02-06;21.4
US5949181045;2004-02-09;21.38
US5949181045;2004-02-10;21.35
US5949181045;2004-02-11;21.13
US5949181045;2004-02-12;21.1
US5949181045;2004-02-13;20.9
US5949181045;2004-02-16;20.92
US5949181045;2004-02-17;20.99
US5949181045;2004-02-18;21.11
US5949181045;2004-02-19;21.2
US5949181045;2004-02-20;21.25
US5949181045;2004-02-23;21.17
US5949181045;2004-02-24;21.2
US5949181045;2004-02-25;21.33
US5949181045;2004-02-26;21.3
US5949181045;2004-02-27;21.35
US5949181045;2004-03-01;21.37
US5949181045;2004-03-02;21.78
US5949181045;2004-03-03;21.78
US5949181045;2004-03-04;21.5
US5949181045;2004-03-05;21.43
US5949181045;2004-03-08;21.28
US5949181045;2004-03-09;20.8
US5949181045;2004-03-10;21
US5949181045;2004-03-11;20.88
US5949181045;2004-03-12;20.77
US5949181045;2004-03-15;20.52
US5949181045;2004-03-16;20.45
US5949181045;2004-03-17;20.65
US5949181045;2004-03-18;19.95
US5949181045;2004-03-19;20.3
US5949181045;2004-03-22;19.58
US5949181045;2004-03-23;19.9
US5949181045;2004-03-24;20
US5949181045;2004-03-25;20.35
US5949181045;2004-03-26;20.98
US5949181045;2004-03-29;20.7
US5949181045;2004-03-30;20.65
US5949181045;2004-03-31;20.3
US5949181045;2004-04-01;20.2
US5949181045;2004-04-02;21.2
US5949181045;2004-04-05;21.41
US5949181045;2004-04-06;21.38
US5949181045;2004-04-07;21.05
US5949181045;2004-04-08;21.16
US5949181045;2004-04-13;21.4
US5949181045;2004-04-14;21.4
US5949181045;2004-04-15;21.3
US5949181045;2004-04-16;21.09
US5949181045;2004-04-19;21.18
US5949181045;2004-04-20;21.64
US5949181045;2004-04-21;21.4
US5949181045;2004-04-22;21.72
US5949181045;2004-04-23;23.22
US5949181045;2004-04-26;22.9
US5949181045;2004-04-27;22.78
US5949181045;2004-04-28;22.8
US5949181045;2004-04-29;22.26
US5949181045;2004-04-30;22
US5949181045;2004-05-03;22.05
US5949181045;2004-05-04;21.7
US5949181045;2004-05-05;21.71
US5949181045;2004-05-06;21.51
US5949181045;2004-05-07;22
US5949181045;2004-05-10;21.85
US5949181045;2004-05-11;21.95
US5949181045;2004-05-12;21.38
US5949181045;2004-05-13;22
US5949181045;2004-05-14;21.8
US5949181045;2004-05-17;21.45
US5949181045;2004-05-18;21.56
US5949181045;2004-05-19;21.7
US5949181045;2004-05-20;21.5
US5949181045;2004-05-21;21.57
US5949181045;2004-05-24;21.55
US5949181045;2004-05-25;21.4
US5949181045;2004-05-26;21.45
US5949181045;2004-05-27;21.4
US5949181045;2004-05-28;21.35
US5949181045;2004-05-31;21.41
US5949181045;2004-06-01;21.28
US5949181045;2004-06-02;21.3
US5949181045;2004-06-03;21.4
US5949181045;2004-06-04;21.35
US5949181045;2004-06-07;21.2
US5949181045;2004-06-08;21.62
US5949181045;2004-06-09;21.9
US5949181045;2004-06-10;21.95
US5949181045;2004-06-11;22.15
US5949181045;2004-06-14;22.16
US5949181045;2004-06-15;22.64
US5949181045;2004-06-16;22.62
US5949181045;2004-06-17;23.05
US5949181045;2004-06-18;23
US5949181045;2004-06-21;23.4
US5949181045;2004-06-22;23.19
US5949181045;2004-06-23;23.28
US5949181045;2004-06-24;23.45
US5949181045;2004-06-25;23.5
US5949181045;2004-06-28;23.54
US5949181045;2004-06-29;23.45
US5949181045;2004-06-30;23.35
US5949181045;2004-07-01;23.5
US5949181045;2004-07-02;23.2
US5949181045;2004-07-05;23.1
US5949181045;2004-07-06;22.89
US5949181045;2004-07-07;22.5
US5949181045;2004-07-08;22.6
US5949181045;2004-07-09;22.35
US5949181045;2004-07-12;22.37
US5949181045;2004-07-13;22.4
US5949181045;2004-07-14;22.8
US5949181045;2004-07-15;22.75
US5949181045;2004-07-16;22.4
US5949181045;2004-07-19;22.26
US5949181045;2004-07-20;22.8
US5949181045;2004-07-21;23.9
US5949181045;2004-07-22;23.6
US5949181045;2004-07-23;23.3
US5949181045;2004-07-26;23.5
US5949181045;2004-07-27;23.5
US5949181045;2004-07-28;23.53
US5949181045;2004-07-29;23.68
US5949181045;2004-07-30;23.88
US5949181045;2004-08-02;23.5
US5949181045;2004-08-03;23.42
US5949181045;2004-08-04;23.45
US5949181045;2004-08-05;23.11
US5949181045;2004-08-06;22.41
US5949181045;2004-08-09;22.15
US5949181045;2004-08-10;22.45
US5949181045;2004-08-11;22.45
US5949181045;2004-08-12;22.1
US5949181045;2004-08-13;22
US5949181045;2004-08-16;21.93
US5949181045;2004-08-17;21.95
US5949181045;2004-08-18;22.1
US5949181045;2004-08-19;22.01
US5949181045;2004-08-20;22.1
US5949181045;2004-08-23;22.4
US5949181045;2004-08-24;22.6
US5949181045;2004-08-25;22.65
US5949181045;2004-08-26;22.85
US5949181045;2004-08-27;22.85
